Q1,Q2,Q3,MT,Q4,A,FE
NA,NA,85.71,18.97,NA,NA,NA
32.5,2.78,73.81,16.38,NA,NA,NA
30,30.56,59.52,43.1,78.57,85.71,51.76
92.5,100,83.33,100,82.14,95.92,94.12
77.5,88.89,83.33,87.07,82.14,77.55,85.88
85,75,76.19,96.55,75,97.96,84.71
52.5,27.78,45.24,43.1,75,67.35,60
12.5,NA,83.33,25.86,60.71,91.84,64.71
25,27.78,61.9,25,92.86,63.27,42.94
80,88.89,83.33,97.41,92.86,97.96,93.53
60,75,80.95,87.07,78.57,83.67,96.47
40,83.33,76.19,65.52,78.57,79.59,NA
82.5,77.78,59.52,84.48,60.71,85.71,68.24
27.5,58.33,59.52,43.97,82.14,93.88,83.53
75,86.11,61.9,96.55,92.86,79.59,NA
35,NA,35.71,25.86,82.14,91.84,72.35
25,NA,61.9,17.24,82.14,77.55,51.76
67.5,97.22,80.95,74.14,82.14,81.63,91.76
90,91.67,83.33,97.41,85.71,100,84.12
60,58.33,90.48,67.24,NA,69.39,NA
92.5,88.89,85.71,96.55,NA,91.84,82.35
35,55.56,85.71,31.03,78.57,46.94,28.24
42.5,58.33,80.95,60.34,75,NA,44.71
67.5,100,90.48,91.38,85.71,81.63,89.41
40,19.44,73.81,43.1,78.57,93.88,81.76
55,47.22,76.19,63.79,75,91.84,77.65
67.5,77.78,73.81,98.28,82.14,95.92,70.59
57.5,61.11,45.24,77.59,60.71,51.02,70
57.5,38.89,35.71,56.9,82.14,97.96,77.65
62.5,80.56,69.05,81.03,82.14,97.96,54.12
57.5,52.78,90.48,56.03,78.57,85.71,69.41
82.5,72.22,69.05,74.14,85.71,100,80.59
45,36.11,83.33,18.1,78.57,85.71,27.06
45,36.11,69.05,45.69,82.14,53.06,9.41
52.5,25,35.71,63.79,60.71,61.22,64.71
25,41.67,45.24,57.76,85.71,71.43,28.24
0,0,0,0,0,1,1
