Q1,Q2,Q3,Q4,MT1,Q5,Q6,Q7,Q8,MT2,Q9,FE
85,65,70,57.5,98.75,90,17.5,42.5,97.5,81.67,95,74.38
100,100,100,70,95,100,40,50,97.5,86.67,97.5,80
80,70,65,17.5,67,60,17.5,12.5,100,66.67,80,71.25
32.5,15,5,NA,16.25,20,NA,NA,65,23.33,NA,13.75
80,65,47.5,60,60,85,22.5,25,52.5,53.33,60,52.5
40,25,62.5,25,80,85,30,30,97.5,70,92.5,65
100,95,95,27,78.75,92.5,30,42.5,100,76.67,95,90
77.5,65,75,37.5,53.75,82.5,17.5,37.5,97.5,43.33,95,80.63
80,40,45,77.5,56.25,82.5,50,42.5,97.5,98.33,100,90
97.5,65,60,67.5,82.5,80,47.5,42.5,82.5,71.67,75,70
82.5,57.5,97.5,60,71.25,80,25,45,100,98.33,100,87.5
55,40,35,22.5,28.75,40,17.5,12.5,67.5,50,75,50
95,50,50,55,80,70,30,40,90,83.33,100,75
100,100,100,60,68.75,95,42.5,40,97.5,78.33,90,90
100,100,100,97.5,100,95,50,50,100,95,100,98.75
40,97.5,77.5,55,67.5,75,37.5,50,82.5,81.67,65,66.25
37.5,5,NA,2.5,15,20,NA,NA,80,30,20,0
95,75,82.5,80,97.5,80,50,37.5,97.5,75,80,53.75
82.5,70,72.5,37.5,65,75,12.5,30,97.5,40,60,66.25
100,100,100,80,90,85,47.5,50,95,98.33,100,86.25
70,25,10,15,43.75,40,5,15,82.5,68.33,90,87.5
92.5,60,60,32.5,76.25,60,37.5,45,100,96.67,100,88.75
85,17.5,70,52.5,60,82,30,37.5,100,98.33,100,89.38
70,25,NA,42.5,58.75,50,17.5,15,65,46.67,NA,40.63
82.5,82.5,75,65,82.5,72.5,40,42.5,100,96.67,100,90
90,45,75,35,71.25,NA,10,NA,65,38.33,80,32.5
100,95,95,55,76.25,92.5,40,50,97.5,86.67,95,61.25
92.5,75,67,55,65,80,32.5,25,97.5,56.67,NA,56.25
45,80,50,17.5,67.5,45,5,42.5,80,71.67,NA,68.75
0,0,0,0,0,0,0,0,1,1,1,1
